@RELATION results
@ATTRIBUTE symbol {accident,bomb,car,casualty,electricity,fire,firebrigade,flood,gas,injury,paramedics,person,police,roadblock}
@ATTRIBUTE size {small,medium,large}
@ATTRIBUTE mean_gray NUMERIC
@ATTRIBUTE center_of_mass_X NUMERIC
@ATTRIBUTE center_of_mass_Y NUMERIC
@DATA
accident,medium,245.632340,130.981502,157.124977
accident,medium,243.797947,113.198394,142.755467
accident,medium,242.063348,114.940474,153.091436
accident,medium,240.176899,118.611191,150.239431
accident,medium,241.272010,120.424132,142.552166
accident,small,251.920104,129.571429,116.710551
accident,small,251.451882,114.454510,143.137736
accident,small,252.272472,113.887360,143.545654
accident,small,251.567655,89.089826,144.768569
accident,small,250.815478,93.006514,154.943657
accident,large,242.527267,123.497969,149.328143
accident,large,244.226624,132.946985,109.695946
accident,large,243.046538,117.929433,145.231943
accident,large,244.080399,139.877524,146.608442
accident,large,243.218294,125.317264,154.363620
accident,medium,246.221311,107.946298,111.658852
accident,medium,245.823299,94.580793,188.440184
accident,medium,245.749729,96.405559,167.819216
accident,medium,246.835291,61.233333,109.639269
accident,medium,245.218551,67.279738,120.082768
accident,small,252.585567,113.447492,143.633013
accident,small,251.770138,105.667151,153.815170
accident,small,252.273325,102.912689,152.029356
accident,small,251.873268,97.800481,127.002404
accident,small,252.275060,100.596491,143.705530
accident,large,244.324020,126.014150,156.434594
accident,large,245.928346,108.285628,149.894350
accident,large,243.958109,137.852932,157.460449
accident,large,244.976854,96.020611,83.100213
accident,large,244.840433,130.678013,155.454236
accident,medium,247.149140,93.698247,122.106706
accident,medium,247.731541,137.463429,136.559314
accident,medium,248.883701,121.540829,147.770421
accident,medium,248.716501,130.747559,151.532990
accident,medium,247.223737,65.608122,153.031646
accident,medium,250.138329,113.933955,148.950142
accident,medium,250.451229,106.115142,128.297406
accident,medium,250.867514,91.820613,180.223744
accident,medium,250.952586,94.398748,126.030028
accident,medium,250.312468,100.178862,131.200813
accident,medium,248.568073,105.146659,153.760710
accident,medium,251.051913,127.408859,120.353191
accident,medium,251.003846,107.286058,126.345353
